"Nominee","Party","Home.state","Running.mate","Electoral.vote","Popular.vote","Percentage","year","state","url","margin","electoral_votes_maximum","electoral_winner","state_winner","votes_margin_total"
"Franklin D Roosevelt","Democratic","New York","John Nance Garner",3,69702,54.62,1936,"Delaware","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Delaware",12466,3,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alf Landon","Republican","Kansas","Frank Knox",0,57236,44.85,1936,"Delaware","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Delaware",12466,3,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",3,74599,54.7,1940,"Delaware","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Delaware",13159,3,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","Indiana","Charles L McNary",0,61440,45.1,1940,"Delaware","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Delaware",13159,3,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry S Truman",3,68166,54.4,1944,"Delaware","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Delaware",11419,3,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","John W Bricker",0,56747,45.3,1944,"Delaware","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Delaware",11419,3,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas E Dewey","Republican","New York","Earl Warren",3,69588,50,1948,"Delaware","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Delaware",1775,3,"Harry S Truman","Thomas E Dewey",111495
"Harry S Truman","Democratic","Missouri","Alben W Barkley",0,67813,48.8,1948,"Delaware","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Delaware",1775,3,"Harry S Truman","Thomas E Dewey",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",3,90059,51.8,1952,"Delaware","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Delaware",6744,3,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,83315,47.9,1952,"Delaware","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Delaware",6744,3,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",3,98057,55.1,1956,"Delaware","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Delaware",18636,3,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,79421,44.6,1956,"Delaware","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Delaware",18636,3,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",3,99590,50.6,1960,"Delaware","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Delaware",3217,3,"John F Kennedy","John F Kennedy",22724.0000000001
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",0,96373,49,1960,"Delaware","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Delaware",3217,3,"John F Kennedy","John F Kennedy",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",3,122704,61,1964,"Delaware","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Delaware",44626,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,78078,38.8,1964,"Delaware","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Delaware",44626,3,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",3,96714,45.12,1968,"Delaware","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Delaware",7520,3,"Richard Nixon","Richard Nixon",266590
"Hubert Humphrey","Democratic","Minnesota","Edmund Muskie",0,89194,41.61,1968,"Delaware","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Delaware",7520,3,"Richard Nixon","Richard Nixon",266590
"George Wallace","American Independent","Alabama","Curtis LeMay",0,28459,13.28,1968,"Delaware","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Delaware",7520,3,"Richard Nixon","Richard Nixon",266590
"Richard Nixon","Republican","California","Spiro Agnew",3,140357,59.6,1972,"Delaware","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Delaware",48074,3,"Richard Nixon","Richard Nixon",6349532
"George McGovern","Democratic","South Dakota","Sargent Shriver",0,92283,39.18,1972,"Delaware","https://en.wikipedia.org/wiki/1972_United_States_presidential_election_in_Delaware",48074,3,"Richard Nixon","Richard Nixon",6349532
"Jimmy Carter","Democratic","Georgia","Walter Mondale",3,122596,52,1976,"Delaware","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Delaware",12765,3,"Jimmy Carter","Jimmy Carter",45716
"Gerald Ford","Republican","Michigan","Bob Dole",0,109831,46.6,1976,"Delaware","https://en.wikipedia.org/wiki/1976_United_States_presidential_election_in_Delaware",12765,3,"Jimmy Carter","Jimmy Carter",45716
"Ronald Reagan","Republican","California","George H W Bush",3,111252,47.21,1980,"Delaware","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Delaware",5498,3,"Ronald Reagan","Ronald Reagan",1462353
"Jimmy Carter","Democratic","Georgia","Walter Mondale",0,105754,44.87,1980,"Delaware","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Delaware",5498,3,"Ronald Reagan","Ronald Reagan",1462353
"John B Anderson","Independent","Illinois","Patrick Lucey",0,16288,6.91,1980,"Delaware","https://en.wikipedia.org/wiki/1980_United_States_presidential_election_in_Delaware",5498,3,"Ronald Reagan","Ronald Reagan",1462353
"Ronald Reagan","Republican","California","George H W Bush",3,152190,59.78,1984,"Delaware","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Delaware",50534,3,"Ronald Reagan","Ronald Reagan",5351583
"Walter Mondale","Democratic","Minnesota","Geraldine Ferraro",0,101656,39.93,1984,"Delaware","https://en.wikipedia.org/wiki/1984_United_States_presidential_election_in_Delaware",50534,3,"Ronald Reagan","Ronald Reagan",5351583
"George H W Bush","Republican","Texas","Dan Quayle",3,139639,55.88,1988,"Delaware","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Delaware",30992,3,"George H W Bush","George H W Bush",1098368
"Michael Dukakis","Democratic","Massachusetts","Lloyd Bentsen",0,108647,43.48,1988,"Delaware","https://en.wikipedia.org/wiki/1988_United_States_presidential_election_in_Delaware",30992,3,"George H W Bush","George H W Bush",1098368
"Bill Clinton","Democratic","Arkansas","Al Gore",3,126054,43.52,1992,"Delaware","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Delaware",23741,3,"Bill Clinton","Bill Clinton",569655
"George H W Bush","Republican","Texas","Dan Quayle",0,102313,35.33,1992,"Delaware","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Delaware",23741,3,"Bill Clinton","Bill Clinton",569655
"Ross Perot","Independent","Texas","James Stockdale",0,59213,20.45,1992,"Delaware","https://en.wikipedia.org/wiki/1992_United_States_presidential_election_in_Delaware",23741,3,"Bill Clinton","Bill Clinton",569655
"Bill Clinton","Democratic","Arkansas","Al Gore",3,140355,51.82,1996,"Delaware","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Delaware",41293,3,"Bill Clinton","Bill Clinton",1151013
"Bob Dole","Republican","Kansas","Jack Kemp",0,99062,36.58,1996,"Delaware","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Delaware",41293,3,"Bill Clinton","Bill Clinton",1151013
"Ross Perot","Independent","Texas","Patrick Choate",0,28719,10.6,1996,"Delaware","https://en.wikipedia.org/wiki/1996_United_States_presidential_election_in_Delaware",41293,3,"Bill Clinton","Bill Clinton",1151013
"Al Gore","Democratic","Tennessee","Joe Lieberman",3,180068,54.96,2000,"Delaware","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Delaware",42780,3,"George W Bush","Al Gore",537
"George W Bush","Republican","Texas","Dick Cheney",0,137288,41.9,2000,"Delaware","https://en.wikipedia.org/wiki/2000_United_States_presidential_election_in_Delaware",42780,3,"George W Bush","Al Gore",537
"John Kerry","Democratic","Massachusetts","John Edwards",3,200152,53.35,2004,"Delaware","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Delaware",28492,3,"George W Bush","John Kerry",115570
"George W Bush","Republican","Texas","Dick Cheney",0,171660,45.75,2004,"Delaware","https://en.wikipedia.org/wiki/2004_United_States_presidential_election_in_Delaware",28492,3,"George W Bush","John Kerry",115570
"Barack Obama","Democratic","Illinois","Joe Biden",3,255459,61.94,2008,"Delaware","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Delaware",103085,3,"Barack Obama","Barack Obama",990320
"John McCain","Republican","Arizona","Sarah Palin",0,152374,36.92,2008,"Delaware","https://en.wikipedia.org/wiki/2008_United_States_presidential_election_in_Delaware",103085,3,"Barack Obama","Barack Obama",990320
"Barack Obama","Democratic","Illinois","Joe Biden",3,242584,58.61,2012,"Delaware","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Delaware",77100,3,"Barack Obama","Barack Obama",429522
"Mitt Romney","Republican","Massachusetts","Paul Ryan",0,165484,39.98,2012,"Delaware","https://en.wikipedia.org/wiki/2012_United_States_presidential_election_in_Delaware",77100,3,"Barack Obama","Barack Obama",429522
"Hillary Clinton","Democratic","New York","Tim Kaine",3,235603,53.09,2016,"Delaware","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Delaware",50476,3,"Donald Trump","Hillary Clinton",77744
"Donald Trump","Republican","New York","Mike Pence",0,185127,41.72,2016,"Delaware","https://en.wikipedia.org/wiki/2016_United_States_presidential_election_in_Delaware",50476,3,"Donald Trump","Hillary Clinton",77744
"James Cox","Democratic","Ohio","Franklin D Roosevelt",6,90515,62.13,1920,"Florida","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Florida",45662,6,"Warren G Harding","James Cox",1291746
"Warren Harding","Republican","Ohio","Calvin Coolidge",0,44853,30.79,1920,"Florida","https://en.wikipedia.org/wiki/1920_United_States_presidential_election_in_Florida",45662,6,"Warren G Harding","James Cox",1291746
"John W Davis","Democratic","West Virginia","Charles W Bryan",6,62083,56.88,1924,"Florida","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Florida",31450,6,"Calvin Coolidge","John W Davis",775520
"Calvin Coolidge","Republican","Massachusetts","Charles G Dawes",0,30633,28.06,1924,"Florida","https://en.wikipedia.org/wiki/1924_United_States_presidential_election_in_Florida",31450,6,"Calvin Coolidge","John W Davis",775520
"Herbert Hoover","Republican","California","Charles Curtis",6,144168,56.83,1928,"Florida","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Florida",42404,6,"Herbert Hoover","Herbert Hoover",866640
"Al Smith","Democratic","New York","Joseph Taylor Robinson",0,101764,40.12,1928,"Florida","https://en.wikipedia.org/wiki/1928_United_States_presidential_election_in_Florida",42404,6,"Herbert Hoover","Herbert Hoover",866640
"Franklin D Roosevelt","Democratic","New York","John Garner",7,206307,74.49,1932,"Florida","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Florida",137137,7,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Herbert Hoover","Republican","California","Charles Curtis",0,69170,24.98,1932,"Florida","https://en.wikipedia.org/wiki/1932_United_States_presidential_election_in_Florida",137137,7,"Franklin D Roosevelt","Franklin D Roosevelt",1801018
"Franklin D Roosevelt","Democratic","New York","John Garner",7,249117,76.08,1936,"Florida","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Florida",170869,7,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Alfred Landon","Republican","Kansas","Frank Knox",0,78248,23.9,1936,"Florida","https://en.wikipedia.org/wiki/1936_United_States_presidential_election_in_Florida",170869,7,"Franklin D Roosevelt","Franklin D Roosevelt",3834458
"Franklin D Roosevelt","Democratic","New York","Henry A Wallace",7,359334,73.99,1940,"Florida","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Florida",233176,7,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Wendell Willkie","Republican","Indiana","Charles McNary",0,126158,25.98,1940,"Florida","https://en.wikipedia.org/wiki/1940_United_States_presidential_election_in_Florida",233176,7,"Franklin D Roosevelt","Franklin D Roosevelt",891866
"Franklin D Roosevelt","Democratic","New York","Harry Truman",8,339377,70.32,1944,"Florida","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Florida",196162,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Thomas Dewey","Republican","New York","John Bricker",0,143215,29.68,1944,"Florida","https://en.wikipedia.org/wiki/1944_United_States_presidential_election_in_Florida",196162,8,"Franklin D Roosevelt","Franklin D Roosevelt",581936
"Harry Truman","Democratic","Missouri","Alben Barkley",8,281988,48.82,1948,"Florida","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Florida",87708,8,"Harry S Truman","Harry Truman",111495
"Thomas Dewey","Republican","New York","Earl Warren",0,194280,33.63,1948,"Florida","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Florida",87708,8,"Harry S Truman","Harry Truman",111495
"Strom Thurmond","Dixiecrat","South Carolina","Fielding Wright",0,89755,15.54,1948,"Florida","https://en.wikipedia.org/wiki/1948_United_States_presidential_election_in_Florida",87708,8,"Harry S Truman","Harry Truman",111495
"Dwight D Eisenhower","Republican","New York","Richard Nixon",10,544036,54.99,1952,"Florida","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Florida",99086,10,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Adlai Stevenson","Democratic","Illinois","John Sparkman",0,444950,44.97,1952,"Florida","https://en.wikipedia.org/wiki/1952_United_States_presidential_election_in_Florida",99086,10,"Dwight D Eisenhower","Dwight D Eisenhower",1488890
"Dwight D Eisenhower","Republican","Pennsylvania","Richard Nixon",10,643849,57.27,1956,"Florida","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Florida",163478,10,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Adlai Stevenson","Democratic","Illinois","Estes Kefauver",0,480371,42.73,1956,"Florida","https://en.wikipedia.org/wiki/1956_United_States_presidential_election_in_Florida",163478,10,"Dwight D Eisenhower","Dwight D Eisenhower",2349385
"Richard Nixon","Republican","California","Henry Cabot Lodge Jr",10,795476,51.51,1960,"Florida","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Florida",46776,10,"John F Kennedy","Richard Nixon",22724.0000000001
"John F Kennedy","Democratic","Massachusetts","Lyndon B Johnson",0,748700,48.49,1960,"Florida","https://en.wikipedia.org/wiki/1960_United_States_presidential_election_in_Florida",46776,10,"John F Kennedy","Richard Nixon",22724.0000000001
"Lyndon B Johnson","Democratic","Texas","Hubert Humphrey",14,948540,51.15,1964,"Florida","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Florida",42599,14,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Barry Goldwater","Republican","Arizona","William E Miller",0,905941,48.85,1964,"Florida","https://en.wikipedia.org/wiki/1964_United_States_presidential_election_in_Florida",42599,14,"Lyndon B Johnson","Lyndon B Johnson",4118457
"Richard Nixon","Republican","New York","Spiro Agnew",14,886804,40.53,1968,"Florida","https://en.wikipedia.org/wiki/1968_United_States_presidential_election_in_Florida",210010,14,"Richard Nixon","Richard Nixon",266590
